Info: #Dirtywater is worlds biggest #healthrisk n continues2 #threaten both quality of #life n #publichealth in #US: http://t.co/w4hnvMDSC3,neutral,93
RT @BrianEschler: RED SOX WIN! Now time for sleep & a psychological evaluation to see if I'm crazy for staying awake so late for a baseball…,positive,53
Starting off the year with #DirtyWater. Can't beat that. #RedSox #RedSoxNation,positive,72
Aaaaand the #RedSox win! #DirtyWater,neutral,81
We now offer the Dirty Six ;)(6 pack of Dirty Water / Social Menace) #socialmenace #dirtywater #6pack follow... http://t.co/wD80KbD239,neutral,98
The Red Sox actually won a 19 inning game ???????????????????????? WOOOOO #DirtyWater,neutral,64
All I can think about is how my trash can lid is broken and is going to be filled with water by the end of the day. #dirtywater,negative,94
Joe D..man of renaissance. I been a don since kindergarten..I wrote rhymes on construction paper and cray-on..#Dirtywater @joedmusic,neutral,97
RT @CKSalters10: It's finally over!! #DirtyWater http://t.co/kLXDxOzSdt,neutral,89
@CaptPat48 @NCSox @johnszim makes total sense to me!! #dirtywater,negative,49
RED SOX WIN !!! 8-0#DIRTYWATER !!! ... first win of the season !!! \o/ Dirty Water - The Standells ????????S⚾️X http://t.co/pc2DttLU4X,neutral,97
She just handed my prescription like have a nice day! ???????????? #dirtywater????????????????,positive,93
RT @mwj5596: would loved to have swept a bad philly team but can't complain 3/3 on road first series ill take winning every series #dirtywa…,negative,59
FINALLY #DirtyWater #NYYvsBOS http://t.co/5LjFeteCcb,neutral,95
"RT @InkBlockBoston: Touring our friends, Bill Fairweather & Pat Purcell, from @DirtyWaterMedia. #thinkink #inkmedia #dirtywater http://t.co…",neutral,92
"RT @briarrose091: WooHoo Sox win!! Good one tonight boys, now on to crush New York. #RedSoxNation #DirtyWater #BeatNY",positive,96
"RT @Lets_GoRedSox: ""@GregCam4: Red sox win. Clay outstanding. Loved the power show.#dirtywater #bringon2morro #RedSox #RedSoxNation #eadb…",positive,99
RT @nhdogmom: 19 innings...#DirtyWater #RedSox #Historic,neutral,55
Shit yes!!!! #DirtyWater worth the wait.. Time for a nap.,positive,89
Time for some regular season #DirtyWater RT @deanbriggs last home ST game on perfect night. Will miss these guys. http://t.co/Vi4BuJaqtn,positive,89
The #RedSox take the series In Philly with the 6-2 W #dirtyWater #redsoxNation,neutral,85
"#DirtyWater #NHLTiesFanVote time! @RealJackEdwards vs. @AndyBrickley. You vote, they win! So...why are you waiting?! http://t.co/2WVdt6Vfgc",neutral,83
Teddy Bruschi's Team Joins In The SAC w Dr. Sarah -@dirtywatermedia #dirtywater @dirtywaternews http://t.co/l867E0HSca,neutral,97
would loved to have swept a bad philly team but can't complain 3/3 on road first series ill take winning every series #dirtywater go sox!,negative,68
"RT @AndrewCollet: On game #1 of 162, we can actually say... #DIRTYWATER!! #RedSox win the season opener!!",neutral,85
There must have been something in the water. ???????? #dirtywater #redsoxnation #redsox,neutral,90
RT @DavidDLB25: Yankees lose. #RedSox Win! Great Opening Day!!! #DirtyWater,positive,95
RT @LeafandYeast: I'm rich! #lastingbrass2015 #stompinggrounds #dirtywater #sour #craftbeer #bestintheworld https://t.co/oMHQOfrgCz,positive,87
"Most segregated time of day is Sunday service, now Whatchya think that say about the God you worships????? #DirtyWater #ShowHisLove",neutral,71
Both Boston teams beat both Toronto teams in overtime tonight... #TitleTown #DirtyWater,neutral,75
